cluster,minnesota_district,closest_district,dist
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Minnesota",0
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Ohio",0.759359082
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 6 (115th Congress), Wisconsin",0.884351089
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 2 (115th Congress), Michigan",0.898913502
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Nebraska",0.903563688
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Ohio",0.904578634
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Wisconsin",0.910683406
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Wisconsin",0.918537136
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 15 (115th Congress), Pennsylvania",0.928853914
13,"Congressional District 1 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Pennsylvania",0.978759264
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 2 (115th Congress), Minnesota",0
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 14 (115th Congress), Illinois",0.786087449
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Indiana",1.182757949
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 11 (115th Congress), Michigan",1.188693896
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 12 (115th Congress), Ohio",1.220499756
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Washington",1.232499985
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Kansas",1.275332427
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 11 (115th Congress), Illinois",1.298781841
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Minnesota",1.3286087
17,"Congressional District 2 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Virginia",1.34332344
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Minnesota",0
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 11 (115th Congress), Michigan",1.078413177
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Indiana",1.082525594
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 6 (115th Congress), Illinois",1.119656876
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Washington",1.157014745
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 2 (115th Congress), Minnesota",1.3286087
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 14 (115th Congress), Illinois",1.334158552
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Virginia",1.33510615
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Massachusetts",1.336954873
17,"Congressional District 3 (115th Congress), Minnesota","Congressional District 6 (115th Congress), Maryland",1.34444704
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Minnesota",0
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Massachusetts",1.130790744
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 7 (115th Congress), California",1.25579423
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 11 (115th Congress), Illinois",1.288843451
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 11 (115th Congress), Michigan",1.313790099
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Indiana",1.314931713
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Washington",1.319979204
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 6 (115th Congress), Maryland",1.3239044
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 2 (115th Congress), Maryland",1.336057621
17,"Congressional District 4 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Kansas",1.338655362
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Minnesota",0
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Illinois",1.456273196
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Colorado",1.533815716
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Oregon",1.558151218
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 37 (115th Congress), California",1.5837791
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Washington",1.607709495
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 53 (115th Congress), California",1.630166941
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Florida",1.66228194
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Massachusetts",1.880443794
16,"Congressional District 5 (115th Congress), Minnesota","Congressional District 52 (115th Congress), California",2.180888679
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 6 (115th Congress), Minnesota",0
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Wisconsin",1.121576255
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Wisconsin",1.162953409
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Wisconsin",1.19673604
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Minnesota",1.213929729
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 5 (115th Congress), Ohio",1.225968656
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Missouri",1.251897815
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 15 (115th Congress), Ohio",1.257657118
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Kentucky",1.264966326
13,"Congressional District 6 (115th Congress), Minnesota","Congressional District 2 (115th Congress), Michigan",1.285321207
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Minnesota",0
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Wisconsin",0.856196485
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Minnesota",0.890213803
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 10 (115th Congress), Pennsylvania",0.926502409
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Nebraska",0.966422257
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Michigan",0.971326944
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 9 (115th Congress), Pennsylvania",0.973963659
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 15 (115th Congress), Illinois",0.983275525
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Ohio",0.988435971
6,"Congressional District 7 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Pennsylvania",0.989471646
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 8 (115th Congress), Minnesota",0
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Michigan",0.666523089
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 4 (115th Congress), Ohio",0.772142132
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 16 (115th Congress), Illinois",0.790407607
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 9 (115th Congress), Pennsylvania",0.800995032
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 15 (115th Congress), Illinois",0.826770918
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 22 (115th Congress), New York",0.840714846
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 1 (115th Congress), Michigan",0.858295674
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 7 (115th Congress), Wisconsin",0.862827984
6,"Congressional District 8 (115th Congress), Minnesota","Congressional District 3 (115th Congress), Pennsylvania",0.875232991
